,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
0,Female,4th,3.84,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,3,2,2,3,2,2,1,1,1,0,0,1,0,2,1,2,Job Security,Software Development
1,Male,4th,2.5,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,flaxible Work Life Balanced,Teaching
2,Male,4th,3.34,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,2,Job Environment,Software Development
3,Male,4th,3.78,United International University (UIU),2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,0,1,Job Security,Software Development
4,Male,4th,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,3,2,2,2,3,3,3,2,2,3,3,1,1,1,0,5,Salary,Software Development
5,Male,3rd,3.3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),0,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,0,3,flaxible Work Life Balanced,Software Development
6,Female,4th,3.3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,Job Security,Software Development
7,Male,3rd,3.1,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,1,1,2,2,2,3,1,2,2,2,2,3,1,1,0,2,Salary,Software Development
8,Male,4th,3.91,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Salary,Data Analysis
9,Male,4th,3.25,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,1,2,1,1,2,2,2,3,2,2,2,1,2,0,2,0,5,Social Acceptance,Database Administration
10,Male,4th,1.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,flaxible Work Life Balanced,Business
11,Male,3rd,3.59,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,2,2,1,2,2,2,2,2,3,2,1,1,1,2,0,0,Social Acceptance,Software Development
12,Male,4th,2.87,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,3,flaxible Work Life Balanced,BCS
13,Male,3rd,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,flaxible Work Life Balanced,Bank Job
14,Male,3rd,3.04,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,0,4,Job Security,Software Development
15,Male,4th,3.7,United International University (UIU),2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,0,1,Social Acceptance,Teaching
16,Female,4th,3.2740754716981133,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,Other
17,Male,4th,3.02,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,Social Acceptance,Software Development
18,Male,4th,3.27,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,1,1,2,2,1,2,1,1,2,1,1,1,1,0,3,"Social Acceptance,Job Security,flaxible Work Life Balanced","Software Development,Database Administration,ML/AI Engineer,Govt Job,Abroad"
19,Female,4th,3.6,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,0,4,Salary,"Software Development,Networking,Cyber Security,Data Analysis,ML/AI Engineer,Business,Abroad"
20,Male,4th,3.09,United International University (UIU),1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,0,1,"Social Acceptance,Job Security,Job Environment,Salary","Software Development,Cyber Security,Database Administration,ML/AI Engineer,Abroad"
21,Male,4th,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,4,flaxible Work Life Balanced,Software Development
22,Male,2nd,3.78,United International University (UIU),2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2,"Job Security,Job Environment,flaxible Work Life Balanced","Software Development,Networking,Data Analysis,ML/AI Engineer,Teaching,Researcher,Abroad"
23,Male,4th,3.01,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,0,4,"Job Security,Job Environment,Salary","Software Development,Bank Job,Abroad"
