,cgpa,Critical Thinking,Problem Solving,Public Speaking,Professional Writing,Team Work,Leadership & Professional Attitude,Mass Communication,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
0,3.84,2,2,1,1,3,2,2,2,3,2,2,1,1,1,0,0,1,0,2,1,2,Job Security,Software Development
1,2.5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,flaxible Work Life Balanced,Teaching
2,3.34,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,2,Job Environment,Software Development
3,3.78,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,0,1,Job Security,Software Development
4,3,2,2,2,3,3,2,2,2,2,3,3,3,2,2,3,3,1,1,1,0,5,Salary,Software Development
5,3.3,0,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,0,3,flaxible Work Life Balanced,Software Development
6,3.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,Job Security,Software Development
7,3.1,2,2,1,2,1,1,1,2,2,2,3,1,2,2,2,2,3,1,1,0,2,Salary,Software Development
8,3.91,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Salary,Data Analysis
9,3.25,2,1,2,1,2,2,1,1,2,2,2,3,2,2,2,1,2,0,2,0,5,Social Acceptance,Database Administration
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,flaxible Work Life Balanced,Business
11,3.59,1,1,2,1,2,2,2,1,2,2,2,2,2,3,2,1,1,1,2,0,0,Social Acceptance,Software Development
12,2.87,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,3,flaxible Work Life Balanced,BCS
13,3,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,flaxible Work Life Balanced,Bank Job
14,3.04,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,0,4,Job Security,Software Development
15,3.7,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,0,1,Social Acceptance,Teaching
16,3.271183673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,Software Development
17,3.02,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,Social Acceptance,Software Development
18,3.27,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,1,0,3,"Social Acceptance,Job Security,flaxible Work Life Balanced","Software Development,Database Administration,ML/AI Engineer,Govt Job,Abroad"
19,3.6,2,1,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,0,4,Salary,"Software Development,Networking,Cyber Security,Data Analysis,ML/AI Engineer,Business,Abroad"
20,3.09,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,0,1,"Social Acceptance,Job Security,Job Environment,Salary","Software Development,Cyber Security,Database Administration,ML/AI Engineer,Abroad"
21,3,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,4,flaxible Work Life Balanced,Software Development
22,3.78,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2,"Job Security,Job Environment,flaxible Work Life Balanced","Software Development,Networking,Data Analysis,ML/AI Engineer,Teaching,Researcher,Abroad"
23,3.01,2,2,2,1,2,3,2,2,1,1,1,2,1,1,2,1,1,1,1,0,4,"Job Security,Job Environment,Salary","Software Development,Bank Job,Abroad"
