,cgpa,Critical Thinking,Problem Solving,Public Speaking,Professional Writing,Team Work,Leadership & Professional Attitude,Mass Communication,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project
0,3.84,2,2,1,1,3,2,2,2,3,2,2,1,1,1,0,0,1,0,2,1,2
1,2.5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0
2,3.34,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,2
3,3.78,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,0,1
4,3,2,2,2,3,3,2,2,2,2,3,3,3,2,2,3,3,1,1,1,0,5
5,3.3,0,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,0,3
6,3.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4
7,3.1,2,2,1,2,1,1,1,2,2,2,3,1,2,2,2,2,3,1,1,0,2
8,3.91,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0
9,3.25,2,1,2,1,2,2,1,1,2,2,2,3,2,2,2,1,2,0,2,0,5
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
11,3.59,1,1,2,1,2,2,2,1,2,2,2,2,2,3,2,1,1,1,2,0,0
12,2.87,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,3
13,3,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0
14,3.04,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,0,4
15,3.7,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,0,1
16,3.271183673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3.02,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1
18,3.27,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,1,0,3
19,3.6,2,1,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,0,4
20,3.09,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,0,1
21,3,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,4
22,3.78,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2
23,3.01,2,2,2,1,2,3,2,2,1,1,1,2,1,1,2,1,1,1,1,0,4
24,2.8,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,0,2
25,2.9,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,1,5
26,3.271183673,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
27,3.66,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,2,1,1,0,3
28,3.21,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,0,2
29,3.66,2,2,1,1,2,2,1,2,2,2,1,3,2,1,1,1,1,1,1,0,3
30,3.271183673,2,2,3,1,3,3,3,1,2,1,1,1,1,1,1,1,1,1,2,0,2
31,3,2,2,3,1,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,0,5
32,3.13,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
33,3.61,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3.65,2,2,2,2,3,2,2,2,2,2,2,2,1,1,3,1,1,1,1,0,3
35,3.21,1,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1,1,0,5
36,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3.5,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,0,0,0,0,3
38,0,2,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0
39,3.37,2,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,0,1
40,4,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0
41,3.47,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,0,1
42,3.96,3,3,2,3,3,3,3,2,2,3,3,2,2,2,1,1,3,1,3,1,5
43,3.67,2,2,1,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,3,0,0
44,3.3,2,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,0,1
45,3.41,2,2,1,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,0,5
46,2.83,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1
47,2.98,1,2,2,2,3,1,2,1,2,1,2,1,1,1,1,2,2,0,2,1,1
48,3.01,1,2,2,1,2,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2
49,3.16,1,2,2,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1
50,2.92,2,2,2,1,2,2,1,2,2,2,2,1,1,2,1,1,1,1,2,2,2
51,3.22,3,3,1,2,2,2,2,1,2,2,1,2,3,1,1,2,2,2,1,3,1
52,1.6,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
53,3.4,2,3,1,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1
54,3.55,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,2
55,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2
56,3.33,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2
57,3.17,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,2,0,1,1,1,1
58,3.57,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,0,5
59,3.79,1,1,3,2,2,2,3,1,2,1,1,1,2,1,1,1,1,1,1,0,0
60,3.52,2,2,2,1,2,2,1,1,3,3,2,2,2,1,1,1,1,1,1,0,1
61,3.59,2,2,2,1,2,2,2,2,2,2,1,1,2,1,0,2,0,0,0,0,0
62,3.6,1,1,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,1,1,0,0
63,3.54,2,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,0,0
64,3.47,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,3
65,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
66,3.2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,4
67,3.64,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,0,0
68,3.7,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,0,3
69,3.3,2,2,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,1,0,3
70,3.84,2,2,2,1,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,2
71,3.08,1,2,1,2,1,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,1
72,3.25,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,3
73,3.56,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,5
74,3,2,3,2,2,3,3,2,2,2,2,2,1,1,2,1,1,1,1,1,0,3
75,3.2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,4
76,3.4,3,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1
77,2.88,1,2,1,2,2,2,2,1,1,2,2,2,3,3,1,1,1,1,1,0,2
78,3.73,2,2,1,1,2,2,1,1,3,3,1,3,1,1,1,1,1,1,1,0,2
79,3.65,1,2,2,2,2,2,2,2,2,2,1,1,1,0,2,2,2,2,2,0,2
80,3.55,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,1,0,1,1,2,2
81,3.22,1,2,1,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,3
82,3.271183673,2,2,1,1,2,2,3,2,3,2,1,1,1,1,1,1,1,1,1,0,0
83,3.2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,9
84,3.15,3,3,2,2,3,2,1,2,3,3,1,2,2,3,2,2,2,2,2,0,4
85,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5
86,3.91,2,2,1,2,3,2,2,2,2,2,2,3,2,2,1,2,3,2,3,0,4
87,3.63,1,2,2,3,3,3,2,2,2,2,2,3,2,2,2,2,1,1,1,0,10
88,3.16,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2
89,3.67,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,5
90,3.15,2,1,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,3.41,3,2,2,3,3,3,2,3,2,3,2,3,3,3,3,3,2,2,2,0,7
92,3.52,2,2,2,1,3,2,3,2,2,2,2,1,3,2,3,2,2,2,2,1,2
93,3.54,2,1,1,1,2,2,1,0,2,1,1,0,1,0,0,0,0,0,0,0,1
94,3.32,2,2,2,1,2,2,2,1,2,1,1,0,1,1,1,1,1,1,1,0,2
95,3.7,3,3,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,0,2
